Sample Index,soc-Pokec.log,lowThrust_7.log,crankseg_2.log,mouse_gene.log,Si41Ge41H72.log,thread.log,analytics.log,boyd2.log,ford2.log,language.log,nxp1.log,poli_large.log,trans5.log,ASIC_680k.log,c-52.log,hangGlider_3.log,crystk03.log,nd6k.log,TSOPF_RS_b2383.log,PFlow_742.log
20,50.1968,58.9856,68.2144,69.1025,64.6417,67.8444,54.2341,46.77,49.1802,48.3999,56.0465,47.442,57.1464,47.8809,56.7519,61.5719,66.1553,71.0723,66.1772,59.2677
21,52.3012,58.9856,72.4532,72.5921,67.7917,71.6148,54.2341,46.9363,49.1802,48.4372,56.8837,47.442,56.5273,47.8809,56.7519,61.8913,66.1553,75.1348,69.7924,62.678
22,52.3012,59.0958,72.4532,72.5921,67.7917,71.6148,56.7315,46.9363,50.5276,48.4372,56.8837,48.5475,56.5273,49.6457,58.9227,61.8913,68.9921,75.1348,69.7924,62.678
23,50.3921,59.0958,72.6857,71.4572,68.0109,72.4254,56.7315,46.682,50.5276,49.307,56.6163,48.5475,56.4861,49.6457,58.9227,61.9453,68.9921,75.1042,69.7924,63.4094
24,50.3921,59.1368,72.6857,71.4572,68.0109,72.4254,55.6645,46.682,50.6531,49.307,56.6163,48.4858,56.4861,48.4929,59.1319,61.9453,68.857,75.1042,69.0131,63.4094
25,50.0325,59.1368,74.6334,71.4572,66.1292,72.3934,55.6645,46.0837,50.6531,49.7196,57.7663,48.4858,56.3253,48.4929,59.1319,61.9168,68.857,75.612,69.0131,64.0594
26,50.0325,59.0708,74.6334,70.8169,66.1292,72.3934,55.3098,46.0837,50.5596,49.7196,57.7663,48.4809,56.3253,47.6584,59.1294,61.9168,68.8105,75.612,67.9761,64.0594
27,52.1562,59.0708,75.2129,70.8169,66.1292,70.9502,55.3098,46.0837,50.5596,49.8594,58.8761,48.4809,56.3256,47.6584,59.1294,61.8136,68.8105,76.6023,67.9761,64.4823
28,52.1562,58.9977,75.2129,70.8086,65.6117,70.9473,53.95,46.1485,50.5596,49.8594,58.8761,48.4805,55.8363,46.1662,59.1067,61.8136,68.0167,76.6023,69.4139,64.4823
29,53.2817,58.9977,75.9788,70.8086,65.6117,70.9473,53.95,46.1485,50.6435,49.8594,58.8761,48.4805,55.8363,46.1662,59.1067,61.8247,68.0167,76.5505,69.4139,64.4823
30,53.2817,58.9829,75.9788,71.067,65.3569,70.5146,53.4985,46.2219,50.6435,49.3293,58.7047,48.5329,56.3012,47.5387,59.1695,61.8247,68.0167,76.5505,69.3365,63.8758
31,52.669,58.9829,76.0934,71.067,65.3569,70.5146,53.4985,46.2219,50.8034,49.3293,58.7047,48.5329,56.3012,47.5387,59.1695,61.9399,68.2072,76.6295,69.3365,63.8758
32,52.669,58.9829,76.0934,70.7237,66.1608,70.3732,52.4872,46.5392,50.8034,50.2129,57.1101,48.5329,55.7232,47.5387,59.1695,61.9399,68.2072,76.6295,69.4162,64.3245
33,52.8597,59.0433,76.0934,70.7237,66.1608,70.3732,52.4872,46.5392,50.9011,50.2129,57.1101,48.6864,55.7232,47.2196,59.0487,62.1058,67.9129,76.6295,69.4162,64.3245
34,52.8597,59.0433,76.0996,72.5584,66.3757,72.5008,52.4872,45.9449,50.9011,49.5626,57.1008,48.6864,55.85,47.2196,59.0487,62.1058,67.9129,76.3362,69.1813,64.3301
35,52.8692,59.1625,76.0996,72.5584,66.3757,72.5008,51.9996,45.9449,50.9442,49.5626,57.1008,48.6399,55.85,47.3381,59.1637,62.1058,68.5344,76.3362,69.1813,64.3301
36,52.3184,59.1625,76.4716,71.8692,69.511,72.9729,51.9996,45.2332,50.9442,49.5606,57.0029,48.6399,55.9371,47.3381,59.1637,61.9874,68.5344,77.0534,69.2557,67.7327
37,52.3184,59.1943,76.4716,71.8692,69.511,72.9729,51.4363,45.2332,50.9721,49.5606,57.0029,48.5848,55.9371,47.7417,59.1835,61.9874,68.3869,77.0534,69.2557,67.7327
38,52.2287,59.1943,79.1825,71.8279,69.2186,72.4931,51.4363,44.8696,50.9721,48.8707,57.1745,48.5848,56.0426,47.7417,59.1835,62.0045,68.3869,76.2623,69.2557,67.9049
39,52.2287,59.1512,79.1825,71.8279,69.2186,72.4931,51.0661,44.8696,51.0305,48.8707,57.1745,48.4109,56.0426,47.7252,59.3169,62.0045,67.8703,76.2623,67.9701,67.9049
40,50.2341,59.1512,78.7896,71.8279,70.1578,71.8753,51.0661,45.0597,51.0305,49.4503,57.6041,48.4109,55.4364,47.7252,59.3169,61.9668,67.8703,76.1002,67.9701,68.1333
41,50.2341,59.1153,78.7896,71.9153,70.1578,71.8753,51.4727,45.0597,50.8859,49.4503,57.6041,48.4027,55.4364,47.6481,59.379,61.9668,67.5071,76.1002,68.0875,68.1333
42,50.4228,59.1153,78.6361,71.9153,70.1578,71.8874,51.4727,45.0597,50.8859,48.9971,57.1933,48.4027,55.3568,47.6481,59.379,62.0554,67.5071,76.196,68.0875,67.9382
43,50.4228,59.0387,78.6361,72.4799,70.5429,71.6305,51.2293,45.0757,50.8859,48.9971,57.1933,48.4533,55.3568,47.554,59.4108,62.0554,68.1557,76.196,68.009,67.9382
44,52.3532,59.0387,75.8024,72.4799,70.5429,71.6305,51.2293,45.0757,50.7299,48.9971,57.1933,48.4533,55.3568,47.554,59.4108,62.0697,68.1557,76.1014,68.009,67.9382
45,52.3532,59.1732,75.8024,73.2566,70.5246,70.9842,52.6527,45.2751,50.7299,48.7152,57.2718,48.4807,54.7134,47.8398,59.2531,62.0697,68.1557,76.1014,68.8839,67.7644
46,52.469,59.1618,75.3283,73.2566,70.5246,70.9842,52.6527,45.2751,50.5504,48.7152,57.2718,48.4807,54.7134,47.8398,59.2531,62.1491,67.9966,75.3802,68.8839,67.7644
47,52.469,59.1618,75.3283,74.144,72.6251,71.7206,52.471,45.7674,50.5504,49.1688,57.1551,48.4807,54.432,47.8398,59.2483,62.1491,67.9966,75.3802,70.0672,67.3029
48,52.3711,59.0778,75.3283,74.144,72.6251,71.7206,52.471,45.7674,50.4331,49.1688,57.1551,48.5498,54.432,49.146,59.3952,62.1821,68.2818,74.4719,70.0672,67.3029
49,52.3711,59.0778,75.4874,74.8237,71.2736,72.7859,52.471,45.6061,50.4331,49.0315,58.0495,48.5498,54.9207,49.146,59.3952,62.1821,68.2818,74.4719,70.4973,66.8215
50,50.1314,59.1527,75.4874,74.8237,71.2736,72.7859,52.5121,45.6061,50.3209,49.0315,58.0495,48.5443,54.9207,50.6649,59.5174,62.1821,69.0179,74.4719,70.4973,66.8215
51,50.1314,59.1527,75.6002,75.045,71.5675,72.805,52.5121,45.5991,50.3209,49.1145,56.2409,48.5443,54.8019,50.6649,59.5174,62.0415,69.0179,74.4712,70.5592,67.4895
52,50.1314,59.1698,75.6002,75.045,71.5675,72.805,51.7353,45.5991,50.3458,49.1145,56.2409,48.527,54.8019,49.9003,59.5409,62.0415,68.6159,74.4712,70.5592,67.4895
53,50.2547,59.1698,75.248,75.5328,70.7896,72.6493,51.7353,45.0505,50.3458,49.0742,57.598,48.527,55.4265,49.9003,59.5409,61.9377,68.6159,74.6414,70.5592,67.3448
54,50.2547,59.1551,75.248,75.5328,70.7896,72.6493,51.0255,45.0505,50.4811,49.0742,57.598,48.4582,55.4265,50.3979,59.43,61.9377,68.1273,74.6414,70.5608,67.3448
55,49.0535,59.1551,75.462,75.5328,71.2038,70.6916,51.0255,45.6699,50.4811,49.5092,57.4029,48.4582,55.2814,50.3979,59.43,61.8413,68.1273,74.9399,70.5608,70.4924
56,49.0535,59.061,75.462,76.3889,71.2038,70.6916,51.8907,45.6699,50.5097,49.5092,57.4029,48.4616,55.2814,50.3438,59.3908,61.8413,68.1499,74.9399,70.856,70.4924
57,47.7346,59.061,74.4469,76.3889,71.2038,70.7816,51.8907,45.6699,50.5097,49.4321,57.6401,48.4616,55.0897,50.3438,59.3908,61.8772,68.1499,74.9881,70.856,70.3286
58,47.7346,58.9312,74.4469,77.1261,70.7968,70.7816,50.9723,46.1109,50.5097,49.4321,57.6401,48.5192,55.0897,48.6424,59.4013,61.8772,68.2186,74.9881,70.902,70.3286
59,47.7426,58.9312,74.2537,77.1261,70.7968,70.7816,50.9723,46.1109,50.9352,49.4321,57.6401,48.5192,55.0897,48.6424,59.4013,61.7534,68.2186,75.9165,70.902,70.3286
60,47.7426,58.9312,74.2537,75.4647,71.0151,70.5019,52.5551,46.4085,50.9352,50.1929,55.8621,48.4869,54.9576,50.061,59.2498,61.7534,68.2186,75.9165,72.3994,70.0045
61,48.4153,58.9156,74.4174,75.4647,71.0151,70.5019,52.5551,46.4085,51.0051,50.1929,55.8621,48.4869,54.9576,50.061,59.2498,61.7396,68.2753,75.9853,72.3994,70.0045
62,48.4153,58.9156,74.4174,75.3081,67.9214,71.0238,53.2914,46.5159,51.0051,50.1447,55.8499,48.4869,54.8509,50.061,59.1134,61.7396,68.2753,75.9853,70.735,69.7738
63,47.0292,58.8846,74.4174,75.3081,67.9214,71.0238,53.2914,46.5159,50.895,50.1447,55.8499,48.5144,54.8509,48.9499,59.1134,61.6708,,76.0007,70.735,69.7738
64,47.0292,58.8846,74.0015,75.1253,68.2798,70.2083,53.2914,46.1994,50.895,50.5655,,48.5144,,48.9499,,,,76.0007,70.8446,69.6816
65,,,74.0015,75.1253,,,53.0691,46.1994,51.0192,,,48.4758,,47.4904,,,,,,69.6816
66,,,,,,,,,,,,48.4758,,47.4904,,,,,,
